@relation InstanceResultListener

@attribute Key_Dataset {filtered-weka.filters.supervised.instance.ClassBalancer-num-intervals10}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.rules.ZeroR,weka.classifiers.bayes.NaiveBayes,weka.classifiers.functions.SimpleLogistic,weka.classifiers.lazy.IBk,weka.classifiers.trees.J48,weka.classifiers.trees.RandomForest}
@attribute Key_Scheme_options {'','-I 0 -M 500 -H 50 -W 0.0','-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-C 0.25 -M 2','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1'}
@attribute Key_Scheme_version_ID {48055541465867954,5995231201785697655,7397710626304705059,-3080186098777067172,-217733168393644444,1116839470751428698}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 177\nSize of the tree: 209\n','Number of leaves: 183\nSize of the tree: 211\n','Number of leaves: 179\nSize of the tree: 213\n','Number of leaves: 159\nSize of the tree: 183\n','Number of leaves: 186\nSize of the tree: 217\n','Number of leaves: 166\nSize of the tree: 193\n','Number of leaves: 172\nSize of the tree: 199\n','Number of leaves: 174\nSize of the tree: 209\n','Number of leaves: 208\nSize of the tree: 241\n','Number of leaves: 165\nSize of the tree: 195\n','Number of leaves: 190\nSize of the tree: 215\n','Number of leaves: 173\nSize of the tree: 201\n','Number of leaves: 196\nSize of the tree: 233\n','Number of leaves: 233\nSize of the tree: 266\n','Number of leaves: 174\nSize of the tree: 203\n','Number of leaves: 177\nSize of the tree: 205\n','Number of leaves: 186\nSize of the tree: 213\n','Number of leaves: 161\nSize of the tree: 187\n','Number of leaves: 158\nSize of the tree: 185\n','Number of leaves: 197\nSize of the tree: 229\n','Number of leaves: 189\nSize of the tree: 223\n','Number of leaves: 166\nSize of the tree: 197\n','Number of leaves: 203\nSize of the tree: 237\n','Number of leaves: 178\nSize of the tree: 211\n','Number of leaves: 176\nSize of the tree: 207\n','Number of leaves: 181\nSize of the tree: 207\n','Number of leaves: 158\nSize of the tree: 181\n','Number of leaves: 173\nSize of the tree: 197\n','Number of leaves: 106\nSize of the tree: 126\n','Number of leaves: 180\nSize of the tree: 215\n','Number of leaves: 199\nSize of the tree: 233\n','Number of leaves: 181\nSize of the tree: 211\n','Number of leaves: 190\nSize of the tree: 225\n','Number of leaves: 157\nSize of the tree: 179\n','Number of leaves: 197\nSize of the tree: 233\n','Number of leaves: 179\nSize of the tree: 209\n','Number of leaves: 181\nSize of the tree: 213\n','Number of leaves: 179\nSize of the tree: 203\n','Number of leaves: 178\nSize of the tree: 207\n','Number of leaves: 168\nSize of the tree: 191\n','Number of leaves: 174\nSize of the tree: 205\n','Number of leaves: 168\nSize of the tree: 197\n','Number of leaves: 183\nSize of the tree: 217\n','Number of leaves: 200\nSize of the tree: 239\n','Number of leaves: 188\nSize of the tree: 221\n','Number of leaves: 162\nSize of the tree: 189\n','Number of leaves: 176\nSize of the tree: 203\n','Number of leaves: 204\nSize of the tree: 239\n','Number of leaves: 171\nSize of the tree: 197\n','Number of leaves: 163\nSize of the tree: 195\n','Number of leaves: 167\nSize of the tree: 199\n','Number of leaves: 163\nSize of the tree: 191\n','Number of leaves: 91\nSize of the tree: 112\n','Number of leaves: 169\nSize of the tree: 193\n','Number of leaves: 110\nSize of the tree: 134\n','Number of leaves: 171\nSize of the tree: 199\n','Number of leaves: 180\nSize of the tree: 211\n','Number of leaves: 187\nSize of the tree: 219\n','Number of leaves: 157\nSize of the tree: 183\n','Number of leaves: 175\nSize of the tree: 209\n','Number of leaves: 184\nSize of the tree: 209\n','Number of leaves: 182\nSize of the tree: 215\n'}
@attribute measureAttributesUsed numeric
@attribute measureNumIterations numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric

@data

filtered-weka.filters.supervised.instance.ClassBalancer-num-intervals10,1,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20221028.1128,630,73.56647,35.04999,38.51648,0,47.643974,52.356026,0,0,0.50013,0.500137,100,100,73.595622,73.595622,0,1.000396,1.000396,0,0,0,0,1,35.04999,1,38.51648,-0,-0,0,0,0.47644,1,0.64539,?,0.5,0.47644,0.47644,0.47644,0.52356,0.52356,?,0.47644,?,?,0.5,0.50111,?,0.47644,0.001,0,0,0,0,0,884,129918,19795,100,100,?,?,?,?,?,?,?
filtered-weka.filters.supervised.instance.ClassBalancer-num-intervals10,1,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20221028.1128,631,69.714822,34.664832,35.04999,0,49.723762,50.276238,0,0,0.500002,0.500002,100,100,69.715179,69.715179,0,1.000005,1.000005,0,0,0,0,0,0,0,0,1,34.664832,1,35.04999,?,0,?,?,0.5,0.502762,0.497238,0.497238,0.502762,0.502762,?,0.497238,?,?,0.5,0.500015,?,0.497238,0,0.001,0,0,0,0,884,130115,19598,100,100,?,?,?,?,?,?,?
filtered-weka.filters.supervised.instance.ClassBalancer-num-intervals10,1,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20221028.1128,631,69.714822,34.664832,35.04999,0,49.723762,50.276238,0,0,0.500002,0.500002,100,100,69.715179,69.715179,0,1.000005,1.000005,0,0,0,0,0,0,0,0,1,34.664832,1,35.04999,?,0,?,?,0.5,0.502762,0.497238,0.497238,0.502762,0.502762,?,0.497238,?,?,0.5,0.500015,?,0.497238,0,0,0,0,0,0,884,130115,19598,100,100,?,?,?,?,?,?,?
filtered-weka.filters.supervised.instance.ClassBalancer-num-intervals10,1,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20221028.1128,631,69.714822,34.664832,35.04999,0,49.723762,50.276238,0,0,0.500002,0.500002,100,100,69.715179,69.715179,0,1.000005,1.000005,0,0,0,0,0,0,0,0,1,34.664832,1,35.04999,?,0,?,?,0.5,0.502762,0.497238,0.497238,0.502762,0.502762,?,0.497238,?,?,0.5,0.500015,?,0.497238,0,0,0,0,0,0,884,130115,19598,100,100,?,?,?,?,?,?,?
filtered-weka.filters.supervised.instance.ClassBalancer-num-intervals10,1,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20221028.1128,631,69.714822,34.664832,35.04999,0,49.723762,50.276238,0,0,0.500002,0.500002,100,100,69.715179,69.715179,0,1.000005,1.000005,0,0,0,0,0,0,0,0,1,34.664832,1,35.04999,?,0,?,?,0.5,0.502762,0.497238,0.497238,0.502762,0.502762,?,0.497238,?,?,0.5,0.500015,?,0.497238,0,0,0,0,0,0,884,130115,19598,100,100,?,?,?,?,?,?,?
filtered-weka.filters.supervised.instance.ClassBalancer-num-intervals10,1,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20221028.1128,631,69.714822,34.664832,35.04999,0,49.723762,50.276238,0,0,0.500002,0.500002,100,100,69.715179,69.715179,0,1.000005,1.000005,0,0,0,0,0,0,0,0,1,34.664832,1,35.04999,?,0,?,?,0.5,0.502762,0.497238,0.497238,0.502762,0.502762,?,0.497238,?,?,0.5,0.500015,?,0.497238,0,0,0,0,0,0,884,130115,19598,100,100,?,?,?,?,?,?,?
filtered-weka.filters.supervised.instance.ClassBalancer-num-intervals10,1,7,weka.classifiers.rules.ZeroR,'',48055541465867954,20221028.1128,631,69.714822,34.664832,35.04999,0,49.723762,50.276238,0,0,0.500002,0.500002,100,100,69.715179,69.715179,0,1.000005,1.000005,0,0,0,0,0,0,0,0,1,34.664832,1,35.04999,?,0,?,?,0.5,0.502762,0.497238,0.497238,0.502762,0.502762,?,0.497238,?,?,0.5,0.500015,?,0.497238,0.001,0,0,0,0,0,884,130115,19598,100,100,?,?,?,?,?,?,?
filtered-weka.filters.supervised.instance.ClassBalancer-num-intervals10,1,8,weka.classifiers.rules.ZeroR,'',48055541465867954,20221028.1128,631,69.714822,34.664832,35.04999,0,49.723762,50.276238,0,0,0.500002,0.500002,100,100,69.715179,69.715179,0,1.000005,1.000005,0,0,0,0,0,0,0,0,1,34.664832,1,35.04999,?,0,?,?,0.5,0.502762,0.497238,0.497238,0.502762,0.502762,?,0.497238,?,?,0.5,0.500015,?,0.497238,0,0,0,0,0,0,884,130115,19598,100,100,?,?,?,?,?,?,?
filtered-weka.filters.supervised.instance.ClassBalancer-num-intervals10,1,9,weka.classifiers.rules.ZeroR,'',48055541465867954,20221028.1128,631,69.714822,34.664832,35.04999,0,49.723762,50.276238,0,0,0.500002,0.500002,100,100,69.715179,69.715179,0,1.000005,1.000005,0,0,0,0,0,0,0,0,1,34.664832,1,35.04999,?,0,?,?,0.5,0.502762,0.497238,0.497238,0.502762,0.502762,?,0.497238,?,?,0.5,0.500015,?,0.497238,0,0,0,0,0,0,884,130115,19598,100,100,?,?,?,?,?,?,?
filtered-weka.filters.supervised.instance.ClassBalancer-num-intervals10,1,10,weka.classifiers.rules.ZeroR,'',48055541465867954,20221028.1128,631,69.714822,34.664832,35.04999,0,49.723762,50.276238,0,0,0.500002,0.500002,100,100,69.715179,69.715179,0,1.000005,1.000005,0,0,0,0,0,0,0,0,1,34.664832,1,35.04999,?,0,?,?,0.5,0.502762,0.497238,0.497238,0.502762,0.502762,?,0.497238,?,?,0.5,0.500015,?,0.497238,0.001,0,0,0,0,0,884,130115,19598,100,100,?,?,?,?,?,?,?
filtered-weka.filters.supervised.instance.ClassBalancer-num-intervals10,2,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20221028.1128,630,73.56647,35.04999,38.51648,0,47.643974,52.356026,0,0,0.50013,0.500137,100,100,73.595622,73.595622,0,1.000396,1.000396,0,0,0,0,1,35.04999,1,38.51648,-0,-0,0,0,0.47644,1,0.64539,?,0.5,0.47644,0.47644,0.47644,0.52356,0.52356,?,0.47644,?,?,0.5,0.50111,?,0.47644,0,0.001,0,0,0,0,884,129918,19795,100,100,?,?,?,?,?,?,?
